prompt,A,B,C,D,E,answer
Which of the following statements accurately describes the characteristics of Zygaena truchmena?,"Zygaena truchmena is a species of butterfly in the Zygaenidae family. It is found in Central Asia, specifically in Uzbekistan.","Zygaena truchmena is a species of butterfly in the Zygaenidae family. It is found in Central Asia, specifically in Kyrgyzstan.","Zygaena truchmena is a species of moth in the Zygaenidae family. It is found in Central Asia, specifically in Tajikistan.","Zygaena truchmena is a species of moth in the Zygaenidae family. It is found in Central Asia, specifically in Kazakhstan.","Zygaena truchmena is a species of moth in the Zygaenidae family. It is found in Central Asia, specifically in Turkmenistan.",E
What was the ultimate objective of the Battle of Buck Head Creek?,The Union Army cavalry aimed to repulse the attack by the small Confederate cavalry corps.,The Union Army cavalry aimed to destroy railroads and rescue Union prisoners of war.,The Confederate cavalry corps aimed to destroy railroads and rescue Union prisoners of war.,The Confederate cavalry corps aimed to repulse the attack by the Union Army cavalry.,The Union Army cavalry aimed to engage in a strategic retreat and regroup for future battles.,B
How many teams are represented by the Canadian Hockey League for the 2023–24 season?,60,10,70,50,80,A
"Who directed the 1957 film noir, Appointment with a Shadow?",George Nader,Brian Keith,Richard Carlson,Joanna Moore,Virginia Field,C
What position did John Radford play in his football career?,"John Radford played as a forward for Arsenal, West Ham United, and Blackburn Rovers.",John Radford played as a midfielder for Arsenal.,John Radford played as a midfielder for West Ham United.,John Radford played as a defender for Blackburn Rovers.,John Radford played as a goalkeeper for Arsenal.,A
What is the common name for Erigeron bloomeri?,Prairie sunflower,Coastal aster,Rocky mountain daisy,Desert marigold,Scabland fleabane,E
What is Jean-Marie Bigard known for?,Jean-Marie Bigard achieved fame through his pioneering work in the field of medical research and breakthrough discoveries.,Jean-Marie Bigard is known for his talent in playing musical instruments and composing original songs.,Jean-Marie Bigard is known for his often controversial humor and has performed at major entertainment venues in France.,Jean-Marie Bigard is renowned for his exceptional skills as a magician and illusionist.,"Jean-Marie Bigard gained notoriety for his athletic prowess, particularly in the field of professional rugby.",C
"Which family does the Short-spined murex, a species of large predatory sea snail, belong to?","Turritellidae, the turret or screw snails.","Strombidae, the true conchs.","Ranellidae, the triton snails.","Buccinidae, the true whelks.","Muricidae, the rock snails or murex snails.",E
Who is the current director of Ghent University Hospital?,Dr. John Thompson,Prof. Norbert Fraeyman,Dr. Emily Carter,Dr. Michael Anderson,Prof. Josephine Wilcox,B
Which estuary feeds into Boca Ciega Bay?,Clearwater estuary,Clam Bayou estuary,Tampa Bay estuary,Charlotte Harbor estuary,Sarasota Bay estuary,B
"Which of the following statements accurately describes Hamilton County in Ohio, based on the provided Wikipedia excerpt?",Hamilton County is located in the northeastern corner of the U.S. state of Ohio.,The county seat and largest city of Hamilton County is Cincinnati.,"As of the 2020 census, Hamilton County's population was 1,200,503, making it the most populous county in Ohio.","Hamilton County is part of the Cleveland-Akron, OH Metropolitan Statistical Area.","Hamilton County is named after the first President of the United States, George Washington.",B
Which football club did David Helliwell NOT play for?,Rochdale,Morecambe,Workington,Blackburn Rovers,Lincoln City,B
"What is the significance of the song ""Under a Blanket of Blue"" in American popular music history?","""Under a Blanket of Blue"" is considered to be the first-ever hit song that featured a saxophonist as the lead instrument.","""Under a Blanket of Blue"" gained popularity as a romantic ballad during the 1930s and became a standard in the Great American Songbook.","""Under a Blanket of Blue"" has been recognized as one of the most influential songs in shaping the development of jazz music in the 1930s.","""Under a Blanket of Blue"" was widely regarded as a protest song addressing social issues prevalent in the early 1930s.","""Under a Blanket of Blue"" was the first song composed by Jerry Livingston, and it marked the beginning of his successful career as a songwriter.",B
What is the geographic boundary of the Punta Gorda Residential District in Florida?,"The district is bounded by West Retta Esplanade, Berry Street, West Virginia Avenue, and Martinez Avenue.","The district is bounded by West Retta Esplanade, Berry Lane, West Virginia Avenue, and Taylor Street.","The district is bounded by West Retta Esplanade, Berry Street, West Virginia Avenue, and Taylor Street.","The district is bounded by Marina Avenue, Berry Street, West Virginia Avenue, and Taylor Street.","The district is bounded by West Retta Esplanade, Berry Street, West Virginia Avenue, and Pierce Street.",C
What were Gitta Escher's achievements at the 1976 Summer Olympics?,She did not win any medals but finished sixth in the balance beam.,She won a silver medal in the balance beam and finished first in the floor exercise.,She won a bronze medal in the all-around and finished fourth in the team competition.,She won a bronze medal in the team competition and finished fifth in the vault.,She won a gold medal in the vault and finished first in the all-around.,D
What is the architectural style of All Saints' Church in Ashbocking?,All Saints' Church in Ashbocking is built in the Gothic architectural style.,All Saints' Church in Ashbocking is built in the Baroque architectural style.,All Saints' Church in Ashbocking is built in the Modernist architectural style.,All Saints' Church in Ashbocking is built in the Neoclassical architectural style.,All Saints' Church in Ashbocking is built in the Romanesque architectural style.,A
"What is the approximate population of Castellfort, a municipality located in the province of Castellón, Valencian Community, Spain, according to Wikipedia?",Approximately 321 people.,Approximately 639 people.,Approximately 523 people.,Approximately 238 people.,Approximately 719 people.,D
What is the main characteristic of a binary search tree?,A binary search tree is a sorted tree structure where every node contains a key and the keys are organized in a specific order.,A binary search tree is a graph structure where each node has at most two children.,A binary search tree is a tree structure where the time complexity of operations is inversely proportional to the height of the tree.,A binary search tree is a data structure where the key of each internal node is greater than all the keys in its left subtree and less than the ones in its right subtree.,A binary search tree is a balanced tree structure where the heights of the left and right subtrees of any node differ by at most one.,D
Who developed the character Lily Hoshikawa in the anime series Zombie Land Saga?,"Lily Hoshikawa was developed by the artist and character designer Tsunako, known for their work on the Hyperdimension Neptunia series.","Lily Hoshikawa was developed by the animation director Masaki Tachibana, who has previously worked on series like Princess Principal.","Lily Hoshikawa was developed by the team at production studio MAPPA, particularly series composition writer Shigeru Murakoshi and producer Nobuhiro Takenaka.","Lily Hoshikawa was developed by the famous manga artist Rumiko Takahashi, known for creating series like Inuyasha and Ranma ½.","Lily Hoshikawa was developed by the director Munehisa Sakai, known for his work on the One Piece anime series.",C
